job_name,company,salary,company_rating,city,state
"Wells Intervention Roustabout - Prudhoe Bay, Alaska",Worley,N/A,3.9,Prudhoe Bay,Alaska
Pile Driver,Northern Energy Services,N/A,4.8,Prudhoe Bay,Alaska
Shipping Technician,Advanced Supply Chain International (ASCI),N/A,N/A,Prudhoe Bay,Alaska
Logistics Contract Specialist,Arctic Slope Regional Corporation,N/A,4.1,Prudhoe Bay,Alaska
Oiler Technician,Arctic Slope Regional Corporation,N/A,4.1,Prudhoe Bay,Alaska
Material Handling Technician,Advanced Supply Chain International (ASCI),N/A,N/A,Prudhoe Bay,Alaska
"Scaffold Builder - Prudhoe Bay, AK",Worley,N/A,3.9,Prudhoe Bay,Alaska
Journeyman Insulator - Kuparuk Support Services,Arctic Slope Regional Corporation,N/A,4.1,Prudhoe Bay,Alaska
Fixed Wing Pilot,Maritime Helicopters,N/A,2.7,Prudhoe Bay,Alaska
Aircraft Maintenance Technician,Maritime Helicopters,N/A,2.7,Prudhoe Bay,Alaska
Administrative Assistant,Silver Bay Seafoods,N/A,3.8,Prudhoe Bay,Alaska
Surveyor,Alaska Frontier Con,N/A,N/A,Prudhoe Bay,Alaska
Census Taker - Entry Level,U.S. Census Bureau,N/A,4.3,Prudhoe Bay,Alaska
Survey Chief of Parties,"F. R. Bell & Associates, Inc.",N/A,N/A,Prudhoe Bay,Alaska
"Cashier - Tok, AK","Vitus Energy, LLC",N/A,N/A,Prudhoe Bay,Alaska
Naturalist,Alaskan Dream Cruises,N/A,3.5,Prudhoe Bay,Alaska
Administrative Assistant,Silver Bay Seafoods,N/A,3.8,Prudhoe Bay,Alaska
Surveyor,Alaska Frontier Con,N/A,N/A,Prudhoe Bay,Alaska
Census Taker - Entry Level,U.S. Census Bureau,N/A,4.3,Prudhoe Bay,Alaska
"Cashier - Tok, AK","Vitus Energy, LLC",N/A,N/A,Prudhoe Bay,Alaska
Naturalist,Alaskan Dream Cruises,N/A,3.5,Prudhoe Bay,Alaska
Survey Chief of Parties,"F. R. Bell & Associates, Inc.",N/A,N/A,Prudhoe Bay,Alaska
Wells Foreman NS,Hilcorp Energy Company,N/A,4.0,Prudhoe Bay,Alaska
Roustabout,Arctic Slope Regional Corporation,N/A,4.1,Prudhoe Bay,Alaska
"Tech I - Instrumentation Level 2 -Prudhoe Bay, AK",Worley,N/A,3.9,Prudhoe Bay,Alaska
IT Help Desk Technician II - Prudhoe Bay,"ICE Services, Inc.",N/A,N/A,Prudhoe Bay,Alaska
Aircraft Maintenance Technician,Maritime Alaska,N/A,N/A,Prudhoe Bay,Alaska
"Nutaaq Apprentice, AES Shareholder Programs",Arctic Slope Regional Corporation,N/A,4.1,Prudhoe Bay,Alaska
Custodian,"ICE Services, Inc.",N/A,N/A,Prudhoe Bay,Alaska
Bus Driver,Arctic Slope Regional Corporation,N/A,4.1,Prudhoe Bay,Alaska
Electrical FCO Technician,Delta Constructors,N/A,4.0,Prudhoe Bay,Alaska
Marel Technician Assistant,Silver Bay Seafoods,N/A,3.8,Prudhoe Bay,Alaska
Administrative Assistant,Silver Bay Seafoods,N/A,3.8,Prudhoe Bay,Alaska
Service Operator I-II to Service Supervisor I - Slickline,Halliburton,N/A,3.9,Prudhoe Bay,Alaska
"Chemical Technician Multi-Skilled Operator, Chemical Storage & Transport Prudhoe Bay",Arctic Slope Regional Corporation,N/A,4.1,Prudhoe Bay,Alaska
Housekeeper,"ICE Services, Inc.",N/A,N/A,Prudhoe Bay,Alaska
"Tech II - Pipefitter Level 2 -Prudhoe Bay, AK",Worley,N/A,3.9,Prudhoe Bay,Alaska
Operations Supervisor,Delta Western,N/A,3.8,Prudhoe Bay,Alaska
Electrical QC Inspector,Delta Constructors,N/A,4.0,Prudhoe Bay,Alaska
Laborer,Delta Constructors,N/A,4.0,Prudhoe Bay,Alaska
Heavy Equipment Operator,Delta Constructors,N/A,4.0,Prudhoe Bay,Alaska
"Tech I - Crane Inspector Level 3 - Prudhoe Bay, AK",Worley,N/A,3.9,Prudhoe Bay,Alaska
Rig Support Driver,Northern Energy Services,N/A,4.8,Prudhoe Bay,Alaska
Surveyor,Alaska Frontier Con,N/A,N/A,Prudhoe Bay,Alaska
Census Taker - Entry Level,U.S. Census Bureau,N/A,4.3,Prudhoe Bay,Alaska
"Cashier - Tok, AK","Vitus Energy, LLC",N/A,N/A,Prudhoe Bay,Alaska
Naturalist,Alaskan Dream Cruises,N/A,3.5,Prudhoe Bay,Alaska
Administrative Assistant,Silver Bay Seafoods,N/A,3.8,Prudhoe Bay,Alaska
Surveyor,Alaska Frontier Con,N/A,N/A,Prudhoe Bay,Alaska
"Seasonal Driver / Operator - Prudhoe Bay, Alaska",Worley,N/A,3.9,Prudhoe Bay,Alaska
"Tech I - Crane Inspector Level 3 - Prudhoe Bay, AK",Worley,N/A,3.9,Prudhoe Bay,Alaska
Pipe Helper,Delta Constructors,N/A,4.0,Prudhoe Bay,Alaska
Pipefitter,Delta Constructors,N/A,4.0,Prudhoe Bay,Alaska
Camp Manager,"Afognak Native Corporation, Alutiiq LLC, and their...",N/A,3.7,Prudhoe Bay,Alaska
Census Taker - Entry Level,U.S. Census Bureau,N/A,4.3,Prudhoe Bay,Alaska
"Cashier - Tok, AK","Vitus Energy, LLC",N/A,N/A,Prudhoe Bay,Alaska
Survey Chief of Parties,"F. R. Bell & Associates, Inc.",N/A,N/A,Prudhoe Bay,Alaska
Remote Housekeeper - Seasonal,NANA Management Services,N/A,3.6,Prudhoe Bay,Alaska
Video Captioner,Rev.com,N/A,2.7,Prudhoe Bay,Alaska
Remote Baker - Seasonal,NANA Management Services,N/A,3.6,Prudhoe Bay,Alaska
Remote Kitchen Helper - Seasonal,NANA Management Services,N/A,3.6,Prudhoe Bay,Alaska
